titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Dynamic Construction of the Lovász Local Lemma,"This paper proves that a wide class of local search algorithms extend as is to the fully dynamic setting with an adaptive adversary, achieving an amortized $\tilde{O}(1)$ number of local-search steps per update.
  A breakthrough by Moser (2009) introduced the witness-tree and entropy compression techniques for analyzing local resampling processes for the Lovász Local Lemma. These methods have since been generalized and expanded to analyze a wide variety of local search algorithms that can efficiently find solutions to many important local constraint satisfaction problems. These algorithms either extend a partial valid assignment and backtrack by unassigning variables when constraints become violated, or they iteratively fix violated constraints by resampling their variables. These local resampling or backtracking procedures are incredibly flexible, practical, and simple to specify and implement. Yet, they can be shown to be extremely efficient on static instances, typically performing only (sub)-linear number of fixing steps. The main technical challenge lies in proving conditions that guarantee such rapid convergence.
  This paper extends these convergence results to fully dynamic settings, where an adaptive adversary may add or remove constraints. We prove that applying the same simple local search procedures to fix old or newly introduced violations leads to a total number of resampling steps near-linear in the number of adversarial updates.
  Our result is very general and yields several immediate corollaries. For example, letting $Δ$ denote the maximum degree, for a constant $ε$ and $Δ= \text{poly}(\log n)$, we can maintain a $(1+ε) Δ$-edge coloring in $\text{poly}(\log n)$ amortized update time against an adaptive adversary. The prior work for this regime has exponential running time in $\sqrt{\log n}$ [Christiansen, SODA '26].",['cs.DS'],http://arxiv.org/abs/2604.20836v1,https://arxiv.org/pdf/2604.20836v1,22/04/2026-17:58:40,"['Bernhard Haeupler', 'Slobodan Mitrović', 'Srikkanth Ramachandran', 'Wen-Horng Sheu', 'Robert Tarjan']",cs.DS
Majority C-coloring of graphs,"Inspired by the majority colorings and C-colorings, we introduce and study the majority C-coloring of graphs. In such a vertex coloring, every vertex shares its color with at least half of its neighbors. The maximum number of colors that can be used in a majority C-coloring of a graph $G$ is called the majority C-chromatic number and denoted by $\mc(G)$.
  An upper bound on $\mc(G)$ is proved in terms of the order, minimum, and maximum degree. Its sharpness is demonstrated by several results over different graph classes. In particular, $\mc(P_n^k)= \mc(C_n^k)= \lfloor n/(k+1)\rfloor$ is true for the $k$-th power of a path and a cycle if $n \ge k+1$. Further, $\mc(G) = (n-d)/3$ holds if $G$ is a $(\mbox{claw}, K_4)$-free cubic graph and contains $d$ diamonds. %claw-free cubic graph on $n \ge 6$ vertices and contains $d$ diamonds. It is further shown that the majority C-chromatic number is not monotone under edge deletion. In fact, both the lower and upper bounds are sharp in the inequality chain $\mc(G)-2 \leq \mc(G-e) \leq \mc(G) +1$. The minimum and maximum number of edges in an $n$-vertex graph $G$ with $\mc(G)=k$ are determined for every $n$ and $k$. It is also pointed out that the classical chromatic number $χ(G)$ and $\mc(G)$ are incomparable, and the difference $\mc(G)-χ(G)$ can take any positive or negative integer. On the other hand, $\mc(G)+χ(G) \leq n+1$ holds for every graph $G$ of order $n$. The decision problem of whether $\mc(G) \ge k$ holds is NP-complete for every fixed $k\ge 2$. In contrast, some sufficient conditions for $\mc(G) \ge 2$ are proved, and a linear-time algorithm is presented that determines $\mc(T)$ if $T$ is a tree.",['math.CO'],http://arxiv.org/abs/2604.20752v1,https://arxiv.org/pdf/2604.20752v1,22/04/2026-16:42:49,"['Csilla Bujtas', 'Magda Dettlaff', 'Hanna Furmanczyk', 'Aleksandra Laskowska']",math.CO
Colorful Talks with Graphs: Human-Interpretable Graph Encodings for Large Language Models,"Graph problems are fundamentally challenging for large language models (LLMs). While LLMs excel at processing unstructured text, graph tasks require reasoning over explicit structure, permutation invariance, and computationally complex relationships, creating a mismatch with the representations of text-based models. Our work investigates how LLMs can be effectively applied to graph problems despite these barriers. We introduce a human-interpretable structural encoding strategy for graph-to-text translation that injects graph structure directly into natural language prompts. Our method involves computing a variant of Weisfeiler-Lehman (WL) similarity classes and maps them to human-like color tokens rather than numeric labels. The key insight is that semantically meaningful and human-interpretable cues may be more effectively processed by LLMs than opaque symbolic encoding. Experimental results on multiple algorithmic and predictive graph tasks show the considerable improvements by our method on both synthetic and real-world datasets. By capturing both local and global-range dependencies, our method enhances LLM performance especially on graph tasks that require reasoning over global graph structure.",['cs.LG'],http://arxiv.org/abs/2602.10386v2,https://arxiv.org/pdf/2602.10386v2,11/02/2026-00:15:29,"['Angelo Zangari', 'Peyman Baghershahi', 'Sourav Medya']",cs.LG
retinalysis-vascx: An explainable software toolbox for the extraction of retinal vascular biomarkers,"Automatic extraction of retinal vascular biomarkers from color fundus images (CFI) is crucial for large-scale studies of the retinal vasculature. We present VascX, an open-source Python toolbox that extracts biomarkers from CFI artery-vein segmentations. VascX starts from vessel segmentation masks, extracts their skeletons, builds undirected and directed vessel graphs, and resolves vessel segments into longer vessels. A comprehensive set of biomarkers is derived, including vascular density, central retinal equivalents (CREs), and tortuosity. Spatially localized biomarkers may be calculated over grids placed relative to the fovea and optic disc. VascX is released via GitHub and PyPI with comprehensive documentation and examples. Our test-retest reproducibility analysis on repeat imaging of the same eye by different devices shows that most VascX biomarkers have moderate to excellent agreement (ICC > 0.5), with important differences in the level of robustness of different biomarkers. Our analyses of biomarker sensitivity to image perturbations and heuristic parameter values support these differences and further characterize VascX biomarkers. Ultimately, VascX provides an explainable and easily modifiable feature-extraction toolbox that complements segmentation to produce reliable retinal vascular biomarkers. Our graph-based biomarker computation stages support reproducible, region-aware measurements suited for large-scale clinical and epidemiological research. By enabling easy extraction of existing biomarkers and rapid experimentation with new ones, VascX supports oculomics research. Its robustness and computational efficiency facilitate scalable deployment in large databases, while open-source distribution lowers barriers to adoption for ophthalmic researchers and clinicians.","['q-bio.TO', 'cs.CV']",http://arxiv.org/abs/2602.08580v2,https://arxiv.org/pdf/2602.08580v2,09/02/2026-12:19:33,"['Jose D. Vargas Quiros', 'Michael J. Beyeler', 'Sofia Ortin Vela', 'EyeNED Reading Center', 'Sven Bergmann', 'Caroline C. W. Klave', 'Bart Liefers', 'VascX Research Consortium']",q-bio.TO
Photometric Identification of Unresolved Binary Stars in Nearby Open Star Clusters,"This paper introduces a new method to search for unresolved binary stars in open star clusters. The work aims at improving the approach introduced previously, which employs the (H-W2)-W1 versus W2-(BP-K) photometric diagram. This diagram, in tandem with the Gaia Color Magnitude Diagram (CMD) and using theoretical isochrones as reference sequences, is used to estimate the binary star fraction and the distribution of the component mass ratio $q$ in eight nearby open star clusters, including Pleiades, Alpha Per, and Praesepe, which we investigated in previous studies. In this study, to alleviate the uncertainties associated with the use of theoretical isochrones, we propose an empirical isochrones approach. We show that this is an effective approach to exploring a wider primary-mass interval, in particular for the region of low-mass sources.
  Box-and-whisker plots are used to present the distribution of the component mass ratio $q$. The mode of distribution turns out to be in the range $0.43-0.83$ and $0.38-0.63$ for Gaia and infrared-visible photometry, respectively. In addition, we update the algorithm to obtain the binary fraction, whose estimate lies in the range $0.16 - 0.36$ and $0.21 - 0.44$, depending on the adopted method, and show that in previous studies the binary fraction was overestimated. We do not find evidence that the variable spatial resolution of the employed catalogs (Gaia, 2MASS, and WISE) affects the precision of the binary fraction estimate.","['astro-ph.GA', 'astro-ph.SR']",http://arxiv.org/abs/2604.20722v1,https://arxiv.org/pdf/2604.20722v1,22/04/2026-16:07:28,"['Varvara O. Mikhnevich', 'Anastasiia Plotnikova', 'Giovanni Carraro', 'Anton F. Seleznev']",astro-ph.GA
The Role and Relationship of Initialization and Densification in 3D Gaussian Splatting,"3D Gaussian Splatting (3DGS) has become the method of choice for photo-realistic 3D reconstruction of scenes, due to being able to efficiently and accurately recover the scene appearance and geometry from images. 3DGS represents the scene through a set of 3D Gaussians, parameterized by their position, spatial extent, and view-dependent color. Starting from an initial point cloud, 3DGS refines the Gaussians' parameters as to reconstruct a set of training images as accurately as possible. Typically, a sparse Structure-from-Motion point cloud is used as initialization. In order to obtain dense Gaussian clouds, 3DGS methods thus rely on a densification stage. In this paper, we systematically study the relation between densification and initialization. Proposing a new benchmark, we study combinations of different types of initializations (dense laser scans, dense (multi-view) stereo point clouds, dense monocular depth estimates, sparse SfM point clouds) and different densification schemes. We show that current densification approaches are not able to take full advantage of dense initialization as they are often unable to (significantly) improve over sparse SfM-based initialization. We will make our benchmark publicly available.",['cs.CV'],http://arxiv.org/abs/2603.20714v2,https://arxiv.org/pdf/2603.20714v2,21/03/2026-08:37:36,"['Ivan Desiatov', 'Torsten Sattler']",cs.CV
Unsupervised Local Plasticity in a Multi-Frequency VisNet Hierarchy,"We introduce an unsupervised visual representation learning system based entirely on local plasticity rules, without labels, backpropagation, or global error signals. The model is a VisNet-inspired hierarchical architecture combining opponent color inputs, multi-frequency Gabor and wavelet feature streams, competitive normalization with lateral inhibition, saliency modulation, associative memory, and a feedback loop. All representation learning occurs through continuous local plasticity applied to unlabeled image streams over 300 epochs.
  Performance is evaluated using a fixed linear probe trained only at readout time. The system achieves 80.1 percent accuracy on CIFAR-10 and 47.6 percent on CIFAR-100, improving over a Hebbian-only baseline. Ablation studies show that anti-Hebbian decorrelation, free-energy inspired plasticity, and associative memory are the main contributors, with strong synergistic effects. Even without learning, the fixed architecture alone reaches 61.4 percent on CIFAR-10, indicating that plasticity, not only inductive bias, drives most of the performance.
  Control analyses show that independently trained probes match co-trained ones within 0.3 percentage points, and a nearest-class-mean classifier achieves 78.3 percent without gradient-based training, confirming the intrinsic structure of the learned features.
  Overall, the system narrows but does not eliminate the performance gap to backpropagation-trained CNNs (5.7 percentage points on CIFAR-10, 7.5 percentage points on CIFAR-100), demonstrating that structured local plasticity alone can learn strong visual representations from raw unlabeled data.","['cs.CV', 'cs.AI']",http://arxiv.org/abs/2604.09734v4,https://arxiv.org/pdf/2604.09734v4,09/04/2026-18:30:47,"['Mehdi Fatan Serj', 'C. Alejandro Parraga', 'Xavier Otazu']",cs.CV
On the structural growth of bipartite Ramsey numbers,"Bipartite Ramsey numbers is the smallest size of a complete bipartite graph $K_{N,N}$ such that every edge-coloring with a given number of colors inevitably yields a monochromatic copy of a prescribed bipartite graph. While exact values have been determined for certain specific graphs, the general asymptotic behavior of these numbers in terms of structural graph parameters remains poorly understood. In this paper, we investigate structure-dependent growth phenomena in bipartite Ramsey theory.
  We first establish a general lower bound for the $q$-color bipartite Ramsey number $\operatorname{br}(K_{s,t};q)$. The proof employs a probabilistic construction together with an optimization over independent set densities, adapting the approach of Nikiforov and Sawin to the bipartite context. Next, for a fixed bipartite graph $G$ with $p$ vertices and $q$ edges, we prove a lower bound of the form $\operatorname{br}(G,K_{n,n}) > C \bigl(\frac{n}{\log n}\bigr)^{(q-1)/(p-2)}$. As a corollary, we show that sufficiently dense bipartite graphs fail to be bipartite Ramsey size linear. Turning to even cycles and complete bipartite graphs, we obtain an upper bound on the multicolor bipartite Ramsey number $\operatorname{br}_k(C_{2t};K_{n,n}) \le c_{t,k}\, n^2/\log^2 n$, which follows from classical estimates for Zarankiewicz numbers together with a double-counting argument. Building on this result, we further derive a refined linear upper bound of the form $\operatorname{br}(C_{2t},G) \le \frac{m}{2} + \frac{29t\sqrt{m}}{2}$, valid for any connected bipartite graph $G$ with $m$ edges and no isolated vertices.",['math.CO'],http://arxiv.org/abs/2604.20668v1,https://arxiv.org/pdf/2604.20668v1,22/04/2026-15:18:13,['Meng Ji'],math.CO
"Asymptotic Bounds for t(3,n) and an Application to t(4,n)","A set of vertices $X\subseteq V$ in a simple graph $G(V,E)$ is irredundant if each vertex $x\in X$ is either isolated in the induced subgraph $G[X]$ or else has a private neighbor $y\in V\setminus X$ that is adjacent to $x$ and to no other vertex of $X$. The \emph{mixed Ramsey number} $t(m,n)$ is the smallest $N$ for which every red-blue coloring of the edges of $K_N$ has an $m$-element irredundant set in the blue subgraph or an $n$-element independent set in the red subgraph. The irredundant Ramsey number $s(m,n)$ is the smallest $N$ for which every red-blue coloring of the edges of $K_N$ has an $m$-element irredundant set in the blue subgraph or an $n$-element irredundant set in the blue subgraph. In this paper, we determine $t(3,n)$ and $s(3,n)$ up to a constant factor by showing that $t(3,n)=O\left(n^{5/4}/{\log{n}}\right)$, which improved the best upper bound due to Rousseau and Speed in [Comb. Probab. Comput. 12 (2003), 653-660]. As an application, we verify a conjecture for $m=4$ proposed by Chen, Hattingh, and Rousseau in [J. Graph Theory 17(2) (1993), 193-206].",['math.CO'],http://arxiv.org/abs/2502.12596v4,https://arxiv.org/pdf/2502.12596v4,18/02/2025-07:11:41,"['Meng Ji', 'Yaping Mao', 'Ingo Schiermeyer']",math.CO
Fully Dynamic Algorithms for Coloring Triangle-Free Graphs,"A celebrated result of Johansson in graph theory states that every triangle-free graph of maximum degree $Δ$ can be properly colored with $O(Δ/\lnΔ)$ colors, improving upon the ""greedy bound"" of $Δ+1$ coloring in general graphs. This coloring can also be found in polynomial time.
  We present an algorithm for maintaining an $O(Δ/\lnΔ)$ coloring of a dynamically changing triangle-free graph that undergoes edge insertions and deletions. The algorithm is randomized and on $n$-vertex graphs has amortized update time of $Δ^{o(1)}\log{n}$ per update with high probability, even against an adaptive adversary.
  A key to the analysis of our algorithm is an application of the entropy compression method that to our knowledge is new in the context of dynamic algorithms. This technique appears general and is likely to find other applications in dynamic problems and thus can be of its own independent interest.",['cs.DS'],http://arxiv.org/abs/2604.20648v1,https://arxiv.org/pdf/2604.20648v1,22/04/2026-14:58:07,"['Sepehr Assadi', 'Helia Yazdanyar']",cs.DS
