titles,abstracts,categories,entry_ids,pdf_url,published,authors,primary_category
Self-regulated galaxy evolution within a self-consistently varying galaxy-wide IMF,"Semi-analytical evolution models of galaxies are a useful and computationally inexpensive tool for fast assessment of individual properties and their evolution. In this work, specifically the influence of a metallicity and star-formation rate (SFR) dependent galaxy-wide stellar initial mass function (IGIMF) on the self-regulation of star-formation in a galaxy is of interest. All models -- both non-varying gwIMFs and the IGIMF -- reproduce reasonable gas fractions, gas depletion timescales and the main sequence of star-forming galaxies. However, only the IGIMF model accurately predicts the mass-metallicity relation and provides a more comprehensive description of quenched elliptical galaxies. For massive ellipticals all models suggest the need for an additional gas heating source to reach a quenched state. Using a different stellar yield table in the IGIMF model does not significantly affect the results. In all models, the galaxies evolve self-regulated, determined by the accretion rate. The self-regulated constancy of the SFR reflects the constant SFRs of nearby star-forming galaxies. The specific gas-accretion rate of all galaxies appears to be comparable to the Hubble constant. The inclusion of outflows improves the results for the canonical gwIMF model, but not significantly, while for the IGIMF model it has no significant impact.",['astro-ph.GA'],http://arxiv.org/abs/2604.20843v1,https://arxiv.org/pdf/2604.20843v1,22/04/2026-17:59:59,"['Lukas Hof', 'Pavel Kroupa', 'Gerhard Hensler', 'Jan Pflamm-Altenburg']",astro-ph.GA
SpeechParaling-Bench: A Comprehensive Benchmark for Paralinguistic-Aware Speech Generation,"Paralinguistic cues are essential for natural human-computer interaction, yet their evaluation in Large Audio-Language Models (LALMs) remains limited by coarse feature coverage and the inherent subjectivity of assessment. To address these challenges, we introduce SpeechParaling-Bench, a comprehensive benchmark for paralinguistic-aware speech generation. It expands existing coverage from fewer than 50 to over 100 fine-grained features, supported by more than 1,000 English-Chinese parallel speech queries, and is organized into three progressively challenging tasks: fine-grained control, intra-utterance variation, and context-aware adaptation. To enable reliable evaluation, we further develop a pairwise comparison pipeline, in which candidate responses are evaluated against a fixed baseline by an LALM-based judge. By framing evaluation as relative preference rather than absolute scoring, this approach mitigates subjectivity and yields more stable and scalable assessments without costly human annotation. Extensive experiments reveal substantial limitations in current LALMs. Even leading proprietary models struggle with comprehensive static control and dynamic modulation of paralinguistic features, while failure to correctly interpret paralinguistic cues accounts for 43.3% of errors in situational dialogue. These findings underscore the need for more robust paralinguistic modeling toward human-aligned voice assistants.","['cs.CL', 'cs.AI', 'cs.SD']",http://arxiv.org/abs/2604.20842v1,https://arxiv.org/pdf/2604.20842v1,22/04/2026-17:59:58,"['Ruohan Liu', 'Shukang Yin', 'Tao Wang', 'Dong Zhang', 'Weiji Zhuang', 'Shuhuai Ren', 'Ran He', 'Caifeng Shan', 'Chaoyou Fu']",cs.CL
DeVI: Physics-based Dexterous Human-Object Interaction via Synthetic Video Imitation,"Recent advances in video generative models enable the synthesis of realistic human-object interaction videos across a wide range of scenarios and object categories, including complex dexterous manipulations that are difficult to capture with motion capture systems. While the rich interaction knowledge embedded in these synthetic videos holds strong potential for motion planning in dexterous robotic manipulation, their limited physical fidelity and purely 2D nature make them difficult to use directly as imitation targets in physics-based character control. We present DeVI (Dexterous Video Imitation), a novel framework that leverages text-conditioned synthetic videos to enable physically plausible dexterous agent control for interacting with unseen target objects. To overcome the imprecision of generative 2D cues, we introduce a hybrid tracking reward that integrates 3D human tracking with robust 2D object tracking. Unlike methods relying on high-quality 3D kinematic demonstrations, DeVI requires only the generated video, enabling zero-shot generalization across diverse objects and interaction types. Extensive experiments demonstrate that DeVI outperforms existing approaches that imitate 3D human-object interaction demonstrations, particularly in modeling dexterous hand-object interactions. We further validate the effectiveness of DeVI in multi-object scenes and text-driven action diversity, showcasing the advantage of using video as an HOI-aware motion planner.",['cs.CV'],http://arxiv.org/abs/2604.20841v1,https://arxiv.org/pdf/2604.20841v1,22/04/2026-17:59:55,"['Hyeonwoo Kim', 'Jeonghwan Kim', 'Kyungwon Cho', 'Hanbyul Joo']",cs.CV
Breaking the Assistant Mold: Modeling Behavioral Variation in LLM Based Procedural Character Generation,"Procedural content generation has enabled vast virtual worlds through levels, maps, and quests, but large-scale character generation remains underexplored. We identify two alignment-induced biases in existing methods: a positive moral bias, where characters uniformly adopt agreeable stances (e.g. always saying lying is bad), and a helpful assistant bias, where characters invariably answer questions directly (e.g. never refusing or deflecting). While such tendencies suit instruction-following systems, they suppress dramatic tension and yield predictable characters, stemming from maximum likelihood training and assistant fine-tuning. To address this, we introduce PersonaWeaver, a framework that disentangles world-building (roles, demographics) from behavioral-building (moral stances, interactional styles), yielding characters with more diverse reactions and moral stances, as well as second-order diversity in stylistic markers like length, tone, and punctuation. Code: https://github.com/mqraitem/Persona-Weaver",['cs.CL'],http://arxiv.org/abs/2601.03396v2,https://arxiv.org/pdf/2601.03396v2,06/01/2026-20:18:01,"['Maan Qraitem', 'Kate Saenko', 'Bryan A. Plummer']",cs.CL
Homogeneous $\mathbb Z/2$-Harmonic Forms and Spinors on $\mathbb{R}^4$ from Regular 4-Polytopes,"We describe novel local singularity models for $\mathbb Z/2$ harmonic 1-forms, self-dual 2-forms and spinors in dimension 4. These models are homogeneous versions on $\mathbb{R}^4$ whose singular sets are cones on the 1-skeletal of certain regular 4-dimensional polytopes.","['math.DG', 'math.AP']",http://arxiv.org/abs/2604.20840v1,https://arxiv.org/pdf/2604.20840v1,22/04/2026-17:59:23,"['Clifford Taubes', 'Yingying Wu']",math.DG
High-Girth Regular Quantum LDPC Codes from Affine-Coset Structures,"We construct a quantum low-density parity-check code family from a length-512 Calderbank-Shor-Steane base matrix pair. The base pair is $(3,8)$-regular, both Tanner graphs have girth 8 , and the base code has parameters $[[512,174,8]]$. The construction uses affine cosets of six 3-dimensional subspaces of $\mathbb{F}_2^9$ as check supports, and then applies circulant permutation matrix (CPM) lifts. The main decoding experiment uses the CPM-lifted code with lift factor $P=32$, which has parameters $[[16384, 4142, \leq 40]]$, under the code-capacity depolarizing model. A belief-propagation decoder with post-processing achieved frame error rate about $10^{-8}$ at $p=$ 0.085 , and one observed logical residual of weight 40 gives a decoder-derived upper bound $d \leq 40$.",['quant-ph'],http://arxiv.org/abs/2604.20838v1,https://arxiv.org/pdf/2604.20838v1,22/04/2026-17:59:08,"['Koki Okada', 'Kenta Kasai']",quant-ph
Dynamic Construction of the Lovász Local Lemma,"This paper proves that a wide class of local search algorithms extend as is to the fully dynamic setting with an adaptive adversary, achieving an amortized $\tilde{O}(1)$ number of local-search steps per update.
  A breakthrough by Moser (2009) introduced the witness-tree and entropy compression techniques for analyzing local resampling processes for the Lovász Local Lemma. These methods have since been generalized and expanded to analyze a wide variety of local search algorithms that can efficiently find solutions to many important local constraint satisfaction problems. These algorithms either extend a partial valid assignment and backtrack by unassigning variables when constraints become violated, or they iteratively fix violated constraints by resampling their variables. These local resampling or backtracking procedures are incredibly flexible, practical, and simple to specify and implement. Yet, they can be shown to be extremely efficient on static instances, typically performing only (sub)-linear number of fixing steps. The main technical challenge lies in proving conditions that guarantee such rapid convergence.
  This paper extends these convergence results to fully dynamic settings, where an adaptive adversary may add or remove constraints. We prove that applying the same simple local search procedures to fix old or newly introduced violations leads to a total number of resampling steps near-linear in the number of adversarial updates.
  Our result is very general and yields several immediate corollaries. For example, letting $Δ$ denote the maximum degree, for a constant $ε$ and $Δ= \text{poly}(\log n)$, we can maintain a $(1+ε) Δ$-edge coloring in $\text{poly}(\log n)$ amortized update time against an adaptive adversary. The prior work for this regime has exponential running time in $\sqrt{\log n}$ [Christiansen, SODA '26].",['cs.DS'],http://arxiv.org/abs/2604.20836v1,https://arxiv.org/pdf/2604.20836v1,22/04/2026-17:58:40,"['Bernhard Haeupler', 'Slobodan Mitrović', 'Srikkanth Ramachandran', 'Wen-Horng Sheu', 'Robert Tarjan']",cs.DS
Parallel-SFT: Improving Zero-Shot Cross-Programming-Language Transfer for Code RL,"Modern language models demonstrate impressive coding capabilities in common programming languages (PLs), such as C++ and Python, but their performance in lower-resource PLs is often limited by training data availability. In principle, however, most programming skills are universal across PLs, so the capability acquired in one PL should transfer to others. In this work, we propose the task of zero-shot cross-programming-language transfer for code RL. We find that, for Llama-3.1, RL training for code generation in a source PL fails to improve, and sometimes even degrades, the performance on other target PLs. To address this, we hypothesize that effective RL transfer requires a generalizable SFT initialization before RL. We thus propose **Parallel-SFT**, an SFT strategy that incorporates ""parallel programs"" -- functionally equivalent code implemented in multiple PLs -- into the data mixture. We demonstrate that this improves transferability: when we subsequently perform RL on our Parallel-SFT model, we observe better generalization to unseen PLs. Analysis of the model internal representations reveals that Parallel-SFT leads to a more functionality-centric latent space, where equivalent programs across PLs are more tightly clustered, which we hypothesize to contribute to the improved transferability.",['cs.CL'],http://arxiv.org/abs/2604.20835v1,https://arxiv.org/pdf/2604.20835v1,22/04/2026-17:58:36,"['Zhaofeng Wu', 'Shiqi Wang', 'Boya Peng', 'Anuj Goyal', 'Melanie Kambadur', 'Sebastian Ruder', 'Yoon Kim', 'Chloe Bi']",cs.CL
PokeVLA: Empowering Pocket-Sized Vision-Language-Action Model with Comprehensive World Knowledge Guidance,"Recent advances in Vision-Language-Action (VLA) models have opened new avenues for robot manipulation, yet existing methods exhibit limited efficiency and a lack of high-level knowledge and spatial awareness. To address these challenges, we propose PokeVLA, a lightweight yet powerful foundation model for embodied manipulation that effectively infuses vision-language understanding into action learning. Our framework introduces a two-stage training paradigm: first, we pre-train a compact vision-language model (PokeVLM) on a curated multimodal dataset of 2.4M samples encompassing spatial grounding, affordance, and embodied reasoning tasks; second, we inject manipulation-relevant representations into the action space through multi-view goal-aware semantics learning, geometry alignment, and a novel action expert. Extensive experiments demonstrate state-of-the-art performance on the LIBERO-Plus benchmark and in real-world deployment, outperforming comparable baselines in success rate and robustness under diverse perturbations. To foster reproducibility and community progress, we will open-source our code, model weights, and the scripts for the curated pre-training dataset. Project page: https://getterupper.github.io/PokeVLA",['cs.RO'],http://arxiv.org/abs/2604.20834v1,https://arxiv.org/pdf/2604.20834v1,22/04/2026-17:58:19,"['Yupeng Zheng', 'Xiang Li', 'Songen Gu', 'Yuhang Zheng', 'Shuai Tian', 'Weize Li', 'Linbo Wang', 'Senyu Fei', 'Pengfei Li', 'Yinfeng Gao', 'Zebin Xing', 'Yilun Chen', 'Qichao Zhang', 'Haoran Li', 'Wenchao Ding']",cs.RO
AVISE: Framework for Evaluating the Security of AI Systems,"As artificial intelligence (AI) systems are increasingly deployed across critical domains, their security vulnerabilities pose growing risks of high-profile exploits and consequential system failures. Yet systematic approaches to evaluating AI security remain underdeveloped. In this paper, we introduce AVISE (AI Vulnerability Identification and Security Evaluation), a modular open-source framework for identifying vulnerabilities in and evaluating the security of AI systems and models. As a demonstration of the framework, we extend the theory-of-mind-based multi-turn Red Queen attack into an Adversarial Language Model (ALM) augmented attack and develop an automated Security Evaluation Test (SET) for discovering jailbreak vulnerabilities in language models. The SET comprises 25 test cases and an Evaluation Language Model (ELM) that determines whether each test case was able to jailbreak the target model, achieving 92% accuracy, an F1-score of 0.91, and a Matthews correlation coefficient of 0.83. We evaluate nine recently released language models of diverse sizes with the SET and find that all are vulnerable to the augmented Red Queen attack to varying degrees. AVISE provides researchers and industry practitioners with an extensible foundation for developing and deploying automated SETs, offering a concrete step toward more rigorous and reproducible AI security evaluation.","['cs.CR', 'cs.AI', 'cs.CL']",http://arxiv.org/abs/2604.20833v1,https://arxiv.org/pdf/2604.20833v1,22/04/2026-17:58:17,"['Mikko Lempinen', 'Joni Kemppainen', 'Niklas Raesalmi']",cs.CR
